atp2;"Автотранспортное предприятие&nbsp;№2";56,8793;53,2295;"ул.&nbsp;Буммашевская,&nbsp;5";(3412)45-47-95
depo1;Трамвайное депо №1;56,8238;53,2073;426011, г. Ижевск, ул. Маяковского, 7;(3412) 68-21-50
depo2;Трамвайное депо №2;56,834;53,2501;426011, г. Ижевск, ул. Маяковского, 7;(3412) 68-21-50
trp1;Троллейбусный парк №1;56,8761;53,2238;426011, г. Ижевск, ул. Маяковского, 7;(3412) 68-21-50
trp2;Троллейбусный парк №2;56,8325;53,2024;426011, г. Ижевск, ул. Маяковского, 7;(3412) 68-21-50
